preco_total,area_util,local,vagas,titulo,endereco,descricao
600000.0,85.0,Asa Norte,0,Liberty Mall Sala Com 85 m² 8º Andar V. Livre - Armários - Jmr Liberty Mall Sala Com 85 m² 8º Andar V. Livre - Armários - Jmr,"SC/N QD 02, Asa Norte, Brasília SC/N QD 02, Asa Norte, Brasília","LIBERTY MALL SALA COM 85 M² 8º ANDAR. sala com uma bela vista, ampla, na região centro de Brasília, Conjunto de duas salas comerciais, com ante sala, no Liberty Mall, área nobre de Brasília * espaços amplos, copa/cozinha com armário, dois banheiros com armários. Vista livre. Inaugurado em Novembro de 1994 o Liberty Mall faz diferença na Capital Federal. Liberty, como é chamado pelo brasiliense, é um shopping charmoso e que faz parte do dia-a-dia de seus clientes apresentando uma excelente estrutura, como corredores amplos, além de um ambiente tranquilo e aconchegante Para mais informações: Marque sua visita: RODRIGUES JOSMAIL Ver dados zap zap Quer Vender Seu imóvel? Avaliação Grátis J Nogueira Imoveis Acessória Imobiliária e Jurídica."
240000.0,29.0,Asa Sul,0,Sgas 610 C. Clinico Lúcio Costa - Consultórios 29 m² Sgas 610 C. Clinico Lúcio Costa - Consultórios 29 m²,"SGAS 610, Asa Sul, Brasília SGAS 610, Asa Sul, Brasília","SALAS P/ CONSULTÓRIOS LOCALIZAÇÃO: SGAS 610 C DESCRIÇÃO: SALAS A PARTIR DE 29,00M² OBS: EDIFICAÇÃO DENTRO DAS NORMAS DA ANVISA AGENDE SUA VISITA! CONTATO: NIL CONSULTOR IMOBILIÁRIO Ver dados Ver dados Ver dados Ver dados"
3200000.0,730.0,Goiás,0,Galpão Com Área 730² Construído Galpão Com Área 730² Construído,"Setor de Cargas Sul, Sia, Setor Industrial Setor de Cargas Sul, Sia, Setor Industrial","GALPÃO COM ÁREA 730² CONSTRUÍDO LOTE Número 09, do Trecho 04, do Conjunto B, STRC/SUL. Excelente Galpão com lote de 3374m² de área vazado, com área construída de 730m², com boa localização, vendo ou alugo. Aceito imóvel em troca de menor valor. Tratar com Santiago Ver dados (whatsapp) Ver dados (whatsapp) creci 8106 / 8ª Região-DF"
1800000.0,700.0,Taguatinga,0,Comercial - Taguatinga Norte Comercial - Taguatinga Norte,"QNH, Taguatinga Norte, Taguatinga QNH, Taguatinga Norte, Taguatinga","OPORTUNIDADE!!! VENDO EXCELENTE PRÉDIO COMERCIAL/RESIDENCIAL NOVO COM TÉRREO, SENDO 2 LOJAS DE 90M² E 3 PAVIMENTOS COM 12 APARTAMENTOS DE 1 QUARTO COM 40M², EM LOTE DE ESQUINA DE 350M², FOI CONSTRUÍDO EM 50% DO LOTE, RESTANDO 50% PARA CONSTRUÇÃO DE OUTRO PRÉDIO NO MESMO PADRÃO, OU GARAGENS QUE ATUALMENTE ESTÃO ALUGADAS, DOCUMENTOS DE ALVARÁ, PROJETOS APROVADOS, LICENÇAS, CEB, CAESB E BOMBEIROS, TODOS EM DIA E APROVADO, APARTAMENTOS E LOJAS ALUGADOS RECENTES, COM MÉDIA DE R$ 12.000,00 (DOZE MIL REAIS), SENDO O PRÉDIO E O RESTANTE DO LOTE NO VALOR TOTAL DE VENDA DE R$ 1.8000.000,00 (HUM MILÃO E OITOCENTOS MIL REAIS). ACEITO IMÓVEL E CARRO NO VALOR DE MERCADO PARA VENDA. VISTAS AGENDADAS SOMENTE COM J0NES ARAUJO E AÍRTON NOGUEIRA. - 28/03/2018"
1150000.0,600.0,Guará,0,"Prédio Com Lojas E Apartamentos à Venda, Guará II, Guará - Pr0065. Prédio Com Lojas E Apartamentos à Venda, Guará II, Guará - Pr0065.","Quadra QE 40 Conjunto D 0, Guara II, Guará Quadra QE 40 Conjunto D 0, Guara II, Guará","QE 40 Conjunto D - Guará IIPrédio comercial construído com segurança. Prédio com 03 pavimentos construído em todo terreno.Térreo estão 02 lojas amplas para prática comercial rentável. Nos pavimentos de 1º e 2º andar estão 08 apartamentos de 01 quarto com bom espaço e comodidade. ACEITA TROCA/PERMUTA Aceita imóveis pequenos no Guará ou Águas Claras como parte de pagamento.**ATENÇÃO**Informamos que a Thaís Imobiliária não recebe ou autoriza que qualquer corretor parceiro receba sinal ou pagamentos de compra de imóveis. Os devidos pagamentos deverão ser efetuados nas contas e nos termos estabelecidos no instrumento de compra e venda assinado e reconhecido em cartório. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada. Plantão de atendimentoLigue agora e agende sua visita! - 12/02/2019"
4800000.0,1700.0,Águas Claras,20,"Hotel 34 Apartamentos Águas Claras, Ótimo Investimento! Hotel 34 Apartamentos Águas Claras, Ótimo Investimento!","Area ADE Conjunto 27, Área de Desenvolvimento Econômico, Águas Claras Area ADE Conjunto 27, Área de Desenvolvimento Econômico, Águas Claras","EXCELENTE OPORTUNIDADE: Hotel Piamonte composto de: Terreo; Garagem coberta para 20 carros. Recepção com sala para café, cozinha, Wc masculino e feminino, escritório, dispensa. 1ªPiso com 17 apartamentos 2ª Piso com 17 apartamentos , 3ª Piso apartamento de morada com 150m(cobertura) TEMOS UMA EQUIPE DE PROFISSIONAIS PARA MELHOR ATENDER SUAS NECESSIDADES E REALIZAR SEUS SONHOS! SCALERCIO NEGÓCIOS IMOBILIÁRIOS, TRADIÇÃO EM VENDER COM QUALIDADE! Agende uma visita! Codigo anúncio: VILLAVer dados - Ver dados"
780000.0,200.0,Asa Sul,0,Comercial à Venda - na Asa Sul Comercial à Venda - na Asa Sul,"Setor SDS (Setor de Diversões Sul), Asa Sul, Brasília Setor SDS (Setor de Diversões Sul), Asa Sul, Brasília","Cabine de imprensa ,Auditório com 117 lugares + mesa com 4 cadeiras e 2 microfones,4 aparelhos de ar condicionado, divisórias móveis, sala de tradução, mesa de secretária, sala de som, sala de reunião com 46 cadeiras e 2 aparelhos de ar condicionado,1 hack para servidor,1 copa com geladeira, fogão, pia e armários, banheiro masculino e feminino. Localizado no centro de Brasília, com fácil acesso ao Eixão, Eixo Monumetal, Esplanada dos Ministérios, Conjunto Nacional, Pátio Brasil Shopping, Shopping Venâncio, próximo a restaurantes, hotéis, a 15 minutos do Aeroporto de Brasília e futuramente haverá um grande estacionamento no subsolo."
265000.0,33.0,Asa Sul,0,Sgas 610 Via L2 Centro Medico Lucio Costa Sgas 610 Via L2 Centro Medico Lucio Costa,"SGAS 610 VIA L 2 SUL, Asa Sul, Brasília SGAS 610 VIA L 2 SUL, Asa Sul, Brasília",". . . . : : : centro médico lúcio costa Excelência em Saúde: : : . . . . . Profissionais de renome na capital já reservaram seu espaço! . Sgas 610 ao lado do acesso à ponte das garças com acesso pela L2 e L3. . . Alguns diferenciais do Projeto: . Arquitetura inteligente que permite futuras mudanças de layout de planta. . Fachadas revestidas com materiais nobres. . Paisagísmo exclusivo. . Praça de alimentação com elevador panorâmico e cascata. . Automação predial com cabeamento para voz, dados e imagem. . . Portaria com controle de acesso por catracas e central de segurança com cftv. . Ampla área de estacionamento e estacionamento rotativo. . 2 porte-cochére para embarque e desembarque de visitantes com fontes e espelho dágua. . 3 elevadores mais um específico para macas por torre. . Estacionamento para até 2 ambulâncias. . Previsão para pequenos grupos geradores na Cobertura. . Andar para clínicas e ressonância magnética. . Coleta de lixo hospitalar seguindo as novas normas. . Corredores com 2 Mt de largura. . Grupo gerador. . Lajes com sobre carga com 300, 500 e 1000 kilos/m². . . Consultório com 2 lavabos, vaga de garagem, porta com 1 mt de largura. . Preparação para ar condicionado, rede de oxigênio e ar medicinal e central de vácuo. . Aquecimento central de água e gás encanado. . Previsão para rede 380 V. Valor especial de R$ 265. 000, 00 (*) financiamento direto com a construtora. AGENDE SUA VISITA! (61) Ver dados/ Ver dados EVANDRO RIOS"
2250000.0,530.0,São Sebastião,20,Prédio Comercial Excelente Prédio Comercial Excelente,"quadra 202 conjunto 8, Setor Residencial Oeste, São Sebastião quadra 202 conjunto 8, Setor Residencial Oeste, São Sebastião","Aldenor Rocha vende: Prédio comercial todo alugado: Renda hoje de R$13.000,00 Localizado na Avenida Principal da cidade . Próximo à delegacia, próximo à UPA e próximo do Corpo de Bombeiros . Imóvel construído com fundação para 6 andares, atualmente com 3 andares, sendo 530m² de área útil cobertos disponíveis e área total de 800m² . Possui um terraço de 180m² podendo ser coberto completando com isso 710m² de área útil e 800m² de área total do empreendimento. . O projeto do edifício visa o melhor aproveitamento do espaço, melhor iluminação natural e melhor ventilação natural, portanto não existem colunas centrais, o pé direito é mais alto e as janelas são de maior amplitude de abertura. Dados da Cidade de São Sebastião São Sebastião cresce 12,23% ao ano, segundo estudo da Codeplan 90,38% da população faz suas compras na cidade 34,78% foi o aumento da renda no último ano 84,4% das crianças estudam na cidade 34% da população trabalha na própria cidade http://www.codeplan.df.gov.br/ Maiores informações ligue: 61 Ver dados"
795000.0,241.0,Asa Sul,0,"Sala Comercial à Venda, Asa Sul, Brasília - Sa0286. Sala Comercial à Venda, Asa Sul, Brasília - Sa0286.","Quadra SAUS Quadra 6 0, Asa Sul, Brasília Quadra SAUS Quadra 6 0, Asa Sul, Brasília","Sala de meio andar. Composto de um amplo salão com divisórias individualizando 04 ambientes. O imóvel possui, ainda, 04 banheiros e uma copa. Piso em cerâmica. Último andar com vista livre.Agende sua visita!! - 11/02/2019"
